player_name,raid_name,boss_name,raid_difficulty,total_pulls
sinrrjj,liberation of undermine,vexie and the geargrinders,mythic,1
mirmilitz,liberation of undermine,vexie and the geargrinders,heroic,1
grimgriper,liberation of undermine,one-armed bandit,mythic,48
holydocky,liberation of undermine,rik reverb,mythic,23
spinningyiff,liberation of undermine,cauldron of carnage,mythic,1
oberoni,liberation of undermine,vexie and the geargrinders,heroic,1
turbohot,liberation of undermine,vexie and the geargrinders,heroic,21
turbohot,liberation of undermine,chrome king gallywix,mythic,296
jordanpriest,liberation of undermine,"mug'zee, heads of security",heroic,2
evereld,liberation of undermine,sprocketmonger lockenstock,mythic,245
dibby,liberation of undermine,vexie and the geargrinders,heroic,1
mægisk,liberation of undermine,cauldron of carnage,mythic,31
vengaboysfan,liberation of undermine,chrome king gallywix,heroic,1
vengaboysfan,liberation of undermine,cauldron of carnage,mythic,2
gordog,liberation of undermine,rik reverb,mythic,2
rizzleton,liberation of undermine,sprocketmonger lockenstock,heroic,6
budgetgoku,liberation of undermine,stix bunkjunker,heroic,3
ashyminge,liberation of undermine,sprocketmonger lockenstock,heroic,6
swannie,liberation of undermine,vexie and the geargrinders,heroic,3
benshammy,liberation of undermine,cauldron of carnage,heroic,1
gnomerouge,liberation of undermine,vexie and the geargrinders,heroic,1
benshammy,liberation of undermine,rik reverb,mythic,2
enjiie,liberation of undermine,sprocketmonger lockenstock,heroic,6
stwrithe,liberation of undermine,chrome king gallywix,heroic,4
hobbyalkis,liberation of undermine,chrome king gallywix,heroic,42
sillyguy,liberation of undermine,cauldron of carnage,mythic,4
slaybelle,liberation of undermine,cauldron of carnage,mythic,1
chokebo,liberation of undermine,cauldron of carnage,mythic,1
kevi,liberation of undermine,chrome king gallywix,heroic,2
turbohot,liberation of undermine,sprocketmonger lockenstock,mythic,245
маамен,liberation of undermine,vexie and the geargrinders,heroic,2
willowwisp,liberation of undermine,vexie and the geargrinders,heroic,17
pepista,liberation of undermine,"mug'zee, heads of security",mythic,50
hoppsy,liberation of undermine,cauldron of carnage,mythic,1
thebigstone,liberation of undermine,one-armed bandit,mythic,48
gemmers,liberation of undermine,cauldron of carnage,mythic,1
willowwisp,liberation of undermine,cauldron of carnage,heroic,3
incila,liberation of undermine,vexie and the geargrinders,heroic,1
furioshar,liberation of undermine,one-armed bandit,heroic,2
talp,liberation of undermine,"mug'zee, heads of security",mythic,6
lenus,liberation of undermine,vexie and the geargrinders,heroic,19
bergmanlover,liberation of undermine,"mug'zee, heads of security",heroic,1
neutralized,liberation of undermine,rik reverb,mythic,2
alexmae,liberation of undermine,cauldron of carnage,mythic,2
smonkste,liberation of undermine,one-armed bandit,heroic,2
bigboiples,liberation of undermine,rik reverb,heroic,5
larssonadin,liberation of undermine,stix bunkjunker,heroic,1
ashyminge,liberation of undermine,chrome king gallywix,mythic,296
vinewhip,liberation of undermine,rik reverb,mythic,2
gici,liberation of undermine,vexie and the geargrinders,mythic,3
herjaul,liberation of undermine,chrome king gallywix,heroic,2
ashyminge,liberation of undermine,chrome king gallywix,heroic,41
wanchan,liberation of undermine,rik reverb,heroic,5
roropriest,liberation of undermine,one-armed bandit,heroic,12
cówbustíon,liberation of undermine,"mug'zee, heads of security",mythic,6
chinabox,liberation of undermine,"mug'zee, heads of security",mythic,6
enjiie,liberation of undermine,stix bunkjunker,heroic,3
gnomerouge,liberation of undermine,one-armed bandit,heroic,2
hoppsy,liberation of undermine,one-armed bandit,heroic,1
turbohot,liberation of undermine,cauldron of carnage,mythic,39
frenzyy,liberation of undermine,vexie and the geargrinders,mythic,2
gordog,liberation of undermine,chrome king gallywix,heroic,1
herjaul,liberation of undermine,vexie and the geargrinders,mythic,2
ollieyay,liberation of undermine,rik reverb,heroic,5
ollieyay,liberation of undermine,sprocketmonger lockenstock,heroic,6
enarya,liberation of undermine,cauldron of carnage,mythic,1
furiamonk,liberation of undermine,vexie and the geargrinders,heroic,2
turbohot,liberation of undermine,one-armed bandit,heroic,28
shadowxmorn,liberation of undermine,chrome king gallywix,heroic,1
televisions,liberation of undermine,sprocketmonger lockenstock,heroic,6
drottmonk,liberation of undermine,vexie and the geargrinders,heroic,2
mignottàuren,liberation of undermine,sprocketmonger lockenstock,mythic,22
kalowar,liberation of undermine,chrome king gallywix,heroic,1
shanaiya,liberation of undermine,rik reverb,heroic,1
