report_id,report_date,player_class,player_name,damage_total,active_time,item_level,dps
jmpyLVFaKX8qvZD7,2025-06-11 Wed,monk,yearning,12150037230,4428980,674,2743304.0
jmpyLVFaKX8qvZD7,2025-06-11 Wed,rogue,mægisk,14122901943,4491382,682,3144445.0
MymtjWk9brQ6aBqR,2025-06-23 Mon,druid,willowwisp,14962334616,5594330,680,2674553.0
MymtjWk9brQ6aBqR,2025-06-23 Mon,warlock,pattern,12660465042,5590688,673,2264563.0
jmpyLVFaKX8qvZD7,2025-06-11 Wed,druid,bigboiples,832708676,4529730,679,183832.0
rVnDB4fcb9qZAPLv,2025-06-16 Mon,druid,koriekin,13886659468,4743945,678,2927239.0
MymtjWk9brQ6aBqR,2025-06-23 Mon,rogue,mægisk,16020844505,5618875,682,2851255.0
MymtjWk9brQ6aBqR,2025-06-23 Mon,monk,yearning,12850348896,5223937,679,2459897.0
RqBF9J8d7jKzpVDM,2025-06-30 Mon,demonhunter,lenus,8795411271,5727974,681,1535519.0
jmpyLVFaKX8qvZD7,2025-06-11 Wed,evoker,magicwingers,11790239726,4684497,680,2516864.0
MymtjWk9brQ6aBqR,2025-06-23 Mon,paladin,delvur,15391558562,5631395,681,2733170.0
jmpyLVFaKX8qvZD7,2025-06-11 Wed,demonhunter,enjiie,14975963795,4676593,682,3202324.0
MymtjWk9brQ6aBqR,2025-06-23 Mon,monk,cutefist,3511523817,5267290,683,666666.0
rVnDB4fcb9qZAPLv,2025-06-16 Mon,rogue,hobbyalkis,13437614262,4979144,678,2698780.0
jmpyLVFaKX8qvZD7,2025-06-11 Wed,paladin,budgetgoku,6760244205,4734872,682,1427756.0
RqBF9J8d7jKzpVDM,2025-06-30 Mon,mage,wanchan,13338926543,5658231,677,2357438.0
rVnDB4fcb9qZAPLv,2025-06-16 Mon,druid,willowwisp,13066551428,4565953,678,2861736.0
RqBF9J8d7jKzpVDM,2025-06-30 Mon,paladin,yeviel,2030525222,5225201,673,388602.0
MymtjWk9brQ6aBqR,2025-06-23 Mon,druid,koriekin,14232161862,5533036,679,2572216.0
