player_name,total_pulls,boss_name
pattern,121,chrome king gallywix
hobbyalkis,121,chrome king gallywix
jumzo,121,chrome king gallywix
brickyd,120,chrome king gallywix
wanchan,1,chrome king gallywix
mægisk,174,"mug'zee, heads of security"
televisions,121,chrome king gallywix
evereld,88,"mug'zee, heads of security"
ashyminge,121,chrome king gallywix
evereld,121,chrome king gallywix
cutefist,85,"mug'zee, heads of security"
magicwingers,174,"mug'zee, heads of security"
televisions,174,"mug'zee, heads of security"
delvur,87,"mug'zee, heads of security"
jumzo,174,"mug'zee, heads of security"
willowwisp,117,"mug'zee, heads of security"
willowwisp,120,chrome king gallywix
unrecorded,144,"mug'zee, heads of security"
bensbear,30,"mug'zee, heads of security"
lenus,121,chrome king gallywix
bigboiples,121,chrome king gallywix
rizzleton,174,"mug'zee, heads of security"
magicwingers,121,chrome king gallywix
mægisk,121,chrome king gallywix
nahuêl,26,"mug'zee, heads of security"
ashyminge,174,"mug'zee, heads of security"
yearning,174,"mug'zee, heads of security"
lenus,174,"mug'zee, heads of security"
enjiie,174,"mug'zee, heads of security"
enjiie,121,chrome king gallywix
budgetgoku,174,"mug'zee, heads of security"
yearning,121,chrome king gallywix
nahuêl,1,chrome king gallywix
cutefist,121,chrome king gallywix
wanchan,143,"mug'zee, heads of security"
turbohot,121,chrome king gallywix
glizzyrider,31,"mug'zee, heads of security"
iustitiæ,31,"mug'zee, heads of security"
bigboiples,174,"mug'zee, heads of security"
explorer,87,"mug'zee, heads of security"
pattern,174,"mug'zee, heads of security"
yeviel,120,chrome king gallywix
unrecorded,1,chrome king gallywix
rizzleton,121,chrome king gallywix
turbohot,143,"mug'zee, heads of security"
koriekin,174,"mug'zee, heads of security"
budgetgoku,1,chrome king gallywix
hobbyalkis,174,"mug'zee, heads of security"
delvur,120,chrome king gallywix
yeviel,58,"mug'zee, heads of security"
koriekin,121,chrome king gallywix
explorer,1,chrome king gallywix
