report_id,report_date,pull_number,killer_id,killing_ability_game_id,source_id,boss_difficulty,boss_name,start_time,end_time,player_name,death_timestamp,death_window,player_class,next_death_ts_1,next_death_ts_2,next_death_ts_3
pWxYMRbVZgAq3cJT,2025-07-09 Wed,1,29,1214448,-1,mythic,chrome king gallywix,1502624,1598562,magicwingers,1522993,2054,evoker,1522993,1522993,1522993
pWxYMRbVZgAq3cJT,2025-07-09 Wed,3,29,469326,-1,mythic,chrome king gallywix,1690032,1814289,cutefist,1732347,0,monk,1732347,1732347,1732347
pWxYMRbVZgAq3cJT,2025-07-09 Wed,3,29,469326,-1,mythic,chrome king gallywix,1690032,1814289,cutefist,1732347,0,monk,1732347,1732347,1732370
pWxYMRbVZgAq3cJT,2025-07-09 Wed,3,29,469326,-1,mythic,chrome king gallywix,1690032,1814289,cutefist,1732347,0,monk,1732347,1732370,1732370
pWxYMRbVZgAq3cJT,2025-07-09 Wed,3,29,469326,-1,mythic,chrome king gallywix,1690032,1814289,cutefist,1732347,0,monk,1732370,1732370,1732370
MymtjWk9brQ6aBqR,2025-06-23 Mon,4,56,469062,-1,mythic,"mug'zee, heads of security",1172999,1204715,lenus,1191844,18753,demonhunter,1195083,1195104,1195105
pWxYMRbVZgAq3cJT,2025-07-09 Wed,5,29,1217291,-1,mythic,chrome king gallywix,1942612,2058227,brickyd,2041810,7111,warrior,2041810,2041810,2041810
pWxYMRbVZgAq3cJT,2025-07-09 Wed,5,29,1217291,-1,mythic,chrome king gallywix,1942612,2058227,brickyd,2041810,7111,warrior,2041810,2041810,2042019
pWxYMRbVZgAq3cJT,2025-07-09 Wed,5,29,1217291,-1,mythic,chrome king gallywix,1942612,2058227,brickyd,2041810,7111,warrior,2041810,2042019,2042019
pWxYMRbVZgAq3cJT,2025-07-09 Wed,5,29,1217291,-1,mythic,chrome king gallywix,1942612,2058227,brickyd,2041810,7111,warrior,2042019,2042019,2042019
MymtjWk9brQ6aBqR,2025-06-23 Mon,7,12,1218182,-1,mythic,"mug'zee, heads of security",1349259,1605767,jumzo,1588798,41469,paladin,1589840,1592342,1594197
MymtjWk9brQ6aBqR,2025-06-23 Mon,8,12,1218182,-1,mythic,"mug'zee, heads of security",1711263,2003842,koriekin,1928501,1687,druid,1941464,1947294,1948411
