report_id,boss_name,pull_number,player_role,player_id,player_name,player_class,player_spec,hps_amount,total_parses,parse_percent,bracket_percent,parse_rank
XyFknKqWVBzcP2fM,"mug’zee, heads of security",8,dps,86658927,willowwisp,druid,balance,203676.24033457,4814,71,80,1396
XyFknKqWVBzcP2fM,"mug’zee, heads of security",8,dps,93284326,bensbear,druid,balance,174621.76490056,4814,53,79,2262
XyFknKqWVBzcP2fM,"mug’zee, heads of security",8,dps,96742367,koriekin,druid,balance,105858.42585071,4814,20,25,3851
XyFknKqWVBzcP2fM,"mug’zee, heads of security",8,dps,42930234,unrecorded,mage,arcane,167192.68586214,4422,44,45,2476
XyFknKqWVBzcP2fM,"mug’zee, heads of security",8,dps,58520458,wanchan,mage,fire,136517.49556217,1851,34,52,1221
XyFknKqWVBzcP2fM,"mug’zee, heads of security",8,dps,82732490,ashyminge,mage,fire,129350.01654782,1851,29,41,1314
XyFknKqWVBzcP2fM,"mug’zee, heads of security",8,dps,75590816,yearning,monk,windwalker,219356.8853988,2320,70,81,696
XyFknKqWVBzcP2fM,"mug’zee, heads of security",8,dps,39624839,jumzo,paladin,retribution,276540.59030598,5583,40,44,3349
XyFknKqWVBzcP2fM,"mug’zee, heads of security",8,dps,98271885,delvur,paladin,retribution,275266.0258146,5583,39,43,3405
XyFknKqWVBzcP2fM,"mug’zee, heads of security",8,dps,53888668,hobbyalkis,rogue,assassination,261348.17221771,2532,95,97,107
XyFknKqWVBzcP2fM,"mug’zee, heads of security",8,dps,82103568,mægisk,rogue,outlaw,226131.25733369,654,79,80,136
XyFknKqWVBzcP2fM,"mug’zee, heads of security",8,dps,89150199,rizzleton,shaman,elemental,155803.28549508,2248,95,96,110
XyFknKqWVBzcP2fM,"mug’zee, heads of security",8,dps,91348199,pattern,warlock,destruction,355444.23383579,5468,79,97,1148
XyFknKqWVBzcP2fM,"mug’zee, heads of security",8,dps,80252613,enjiie,demonhunter,havoc,474706.32126847,4456,88,91,493
XyFknKqWVBzcP2fM,"mug’zee, heads of security",8,dps,70496861,magicwingers,evoker,devastation,176408.57778981,4143,37,41,2610
jmpyLVFaKX8qvZD7,vexie and the geargrinders,4,dps,96742367,koriekin,druid,balance,53673.712464352,48575,40,27,29145
jmpyLVFaKX8qvZD7,vexie and the geargrinders,4,dps,62844772,turbohot,hunter,marksmanship,35831.521556786,39133,44,52,21914
jmpyLVFaKX8qvZD7,vexie and the geargrinders,4,dps,42930234,unrecorded,mage,arcane,40251.056869653,36211,35,36,23537
jmpyLVFaKX8qvZD7,vexie and the geargrinders,4,dps,58520458,wanchan,mage,fire,11776.363026338,15328,10,10,13795
jmpyLVFaKX8qvZD7,vexie and the geargrinders,4,dps,82732490,ashyminge,mage,fire,29055.234021137,15328,29,30,10882
jmpyLVFaKX8qvZD7,vexie and the geargrinders,4,dps,75590816,yearning,monk,windwalker,55956.005703741,23443,7,4,21801
jmpyLVFaKX8qvZD7,vexie and the geargrinders,4,dps,39624839,jumzo,paladin,retribution,165980.31370575,69930,50,41,34965
jmpyLVFaKX8qvZD7,vexie and the geargrinders,4,dps,85931627,explorer,paladin,retribution,185357.32259688,69930,70,57,20979
jmpyLVFaKX8qvZD7,vexie and the geargrinders,4,dps,23501874,televisions,priest,shadow,310070.19795336,22731,42,20,13183
jmpyLVFaKX8qvZD7,vexie and the geargrinders,4,dps,53888668,hobbyalkis,rogue,assassination,170050.65425264,17122,85,84,2568
jmpyLVFaKX8qvZD7,vexie and the geargrinders,4,dps,82103568,mægisk,rogue,outlaw,119329.66784097,7623,65,55,2668
jmpyLVFaKX8qvZD7,vexie and the geargrinders,4,dps,89150199,rizzleton,shaman,elemental,78313.13537997,27292,81,85,5185
jmpyLVFaKX8qvZD7,vexie and the geargrinders,4,dps,91348199,pattern,warlock,destruction,125577.76379802,28714,26,17,21248
jmpyLVFaKX8qvZD7,vexie and the geargrinders,4,dps,80252613,enjiie,demonhunter,havoc,172816.80087234,35366,19,9,28646
